ID,Enrollment_status,Age_at_enrollment_years,Age_current_years,Sex,Age_at_gonadectomy_categorical,Region_of_residence,Body_condition_categorical,Primary_endpoint,Primary_endpoint_diagnosis_tier,Age_at_primary_endpoint_diagnosis_years,Age_at_death_or_ltf_years,Cause_of_death_cancer_yes_no,Total_follow_up_time_years,Necropsy_performed_yes_no
grlsH764T844,Enrolled,2.23,10.77,Female Spayed,>5 yrs,Northeast,Overweight,,,,,,10.77,
grls5KPMMUCC,Enrolled,2.22,9.96,Female Spayed,>5 yrs,Northeast,Overweight,,,,,,9.96,
grlsUBE49VBB,Enrolled,1.94,9.67,Female Spayed,>5 yrs,South,Underweight,,,,,,9.67,
grlsE2Q6OBTT,Enrolled,1.51,9.93,Female Spayed,>5 yrs,Pacific,Normal,Lymphoma,1,9.33,,,9.93,
grlsRZT87U00,Enrolled,1.93,10.13,Female Spayed,>5 yrs,Northeast,Normal,,,,,,10.13,
grlsZJRGT144,Enrolled Deceased,1.67,9.81,Male Intact,Intact,South,,Hemangiosarcoma,1,9.78,9.81,1,9.81,Yes
grlsYOQLXM44,Enrolled,1.67,10.28,Female Spayed,>5 yrs,South,,,,,,,10.28,
grlsOBKQCCRR,Enrolled,1.24,9.71,Female Spayed,<= 6 mo,Pacific,Normal,,,,,,9.71,
grlsJ4RY5O33,Enrolled,1.64,10.2,Female Spayed,<= 6 mo,Midwest,,,,,,,10.2,
grlsSUDI7EZZ,Enrolled,1.97,10.48,Male Neutered,1 - 2 yrs,Midwest,Obese,,,,,,10.48,
grls6QM3ZGEE,Enrolled Deceased,2,7.56,Male Neutered,1 - 2 yrs,Northeast,Overweight,Hemangiosarcoma,1,6.74,7.56,1,7.56,Yes
grlsJBW4CYRR,Enrolled,2.81,11.27,Female Spayed,1 - 2 yrs,South,Overweight,,,,,,11.27,
grlsIYPAQXX,LTF,1.65,7.13,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,7.13,,7.13,
grlsRDDQEK44,Enrolled,2.7,11.31,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,11.31,
grls3GLTTX00,Enrolled,1.35,9.71,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,9.71,
grlsZ7H6S6CC,Enrolled Deceased,1.79,5.3,Male Intact,Intact,South,Normal,,,,5.3,0,5.3,No
grlsZIPRWGMM,Enrolled Deceased,1.5,8.43,Female Intact,Intact,South,Normal,Hemangiosarcoma,1,8.43,8.43,1,8.43,Yes
grls9WOPU3WW,LTF,1.66,2.45,Female Intact,Intact,Northeast,Overweight,,,,2.45,,2.45,
grls9QW2PE44,Enrolled,1.14,9.7,Male Neutered,>5 yrs,South,Obese,,,,,,9.7,
grlsKT7FHXSS,Enrolled,1.81,10.03,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,10.03,
grlsD3O0F7NN,Enrolled,2.04,10.12,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,,,10.12,
grlsQRT1O6VV,Enrolled,1.36,10.03,Male Neutered,6 mo - 1 yr,South,Overweight,,,,,,10.03,
grlsCLRK3CMM,Enrolled,1.48,10.08,Female Spayed,>5 yrs,Mountain,Normal,,,,,,10.08,
grls4H7BVT22,Enrolled,1.26,9.82,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,9.82,
grls6F8ZXEE,Enrolled,1.36,9.96,Male Intact,Intact,Mountain,Overweight,,,,,,9.96,
grlsWYY3KF66,Enrolled,1.98,10.61,Female Spayed,<= 6 mo,Northeast,Overweight,,,,,,10.61,
grlsHSZ4NWKK,LTF,2.64,7.14,Female Spayed,<= 6 mo,Pacific,Normal,,,,7.14,,7.14,
grls4M9RF144,Enrolled,1.44,10.05,Male Neutered,1 - 2 yrs,Midwest,Normal,Lymphoma,1,9.17,,,10.05,
grlsGIYIEJ22,Enrolled,1.25,9.81,Male Intact,Intact,South,Overweight,,,,,,9.81,
grlsOPAIDMM,Enrolled Deceased,2.48,8.83,Female Spayed,>5 yrs,Northeast,Normal,,,,8.83,1,8.83,No
grlsP9JOSSVV,Enrolled,2.05,10.65,Male Neutered,>5 yrs,Northeast,Overweight,,,,,,10.65,
grlsQ8SLO5YY,Enrolled,1.65,10.05,Female Spayed,>5 yrs,Pacific,Normal,,,,,,10.05,
grlsOGRXTRQQ,Enrolled,1.89,10.05,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,10.05,
grls1R45QTUU,Enrolled,1.64,10.15,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,10.15,
grlsOB1QZ144,Enrolled,1.46,10.04,Female Spayed,>5 yrs,Pacific,Overweight,,,,,,10.04,
grlsUZ00ZR66,Enrolled Deceased,1.37,4.48,Male Neutered,1 - 2 yrs,Northeast,Overweight,Hemangiosarcoma,2,4.48,4.48,1,4.48,No
grlsKRQ2F4FF,Enrolled Deceased,0.99,6.26,Female Spayed,2 - 5 yrs,Pacific,Normal,Lymphoma,1,5.89,6.26,1,6.26,No
grlsNVN2JEFF,Enrolled,1.09,9.67,Female Spayed,<= 6 mo,South,Normal,,,,,,9.67,
grlsUJFR71NN,Enrolled,0.76,9.26,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,9.26,
grlsCZ69ZOUU,Enrolled,1.44,10.12,Male Intact,Intact,Northeast,Normal,,,,,,10.12,
grlsZ03WC1OO,Enrolled,1.13,9.74,Male Neutered,<= 6 mo,South,Normal,,,,,,9.74,
grlsYLUNOS33,Enrolled,1.13,9.74,Female Spayed,<= 6 mo,South,Normal,,,,,,9.74,
grls4Q4L3EDD,Enrolled Deceased,2.38,10.31,Male Neutered,<= 6 mo,South,Overweight,,,,10.31,1,10.31,Yes
grlsF73DD644,Enrolled,2.93,11,Male Neutered,>5 yrs,Pacific,Normal,,,,,,11,
grlsRVOJXM00,Enrolled,2.51,11.16,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,11.16,
grlsWYRHCFF,Enrolled,2.09,10.26,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,10.26,
grlsPX57555,Enrolled,1.41,10.09,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,10.09,
grls0IBIS0GG,Enrolled,1.41,10.09,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,10.09,
grlsLFOHPMNN,Enrolled,2.17,10.84,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,10.84,
grls74CM5J99,LTF,2.07,2.06,Female Spayed,<= 6 mo,Northeast,Normal,,,,2.06,,2.06,
grls4EZBX0GG,Enrolled,1.98,10.28,Female Spayed,1 - 2 yrs,Pacific,Normal,,,,,,10.28,
grlsMKEVKDZZ,Enrolled Deceased,1.28,6.91,Male Neutered,<= 6 mo,South,Normal,,,,6.91,1,6.91,No
grls99LNEEKK,LTF,3.04,2.83,Male Intact,Intact,Northeast,Normal,,,,2.83,,2.83,
grlsQDPXP9,Enrolled,2.37,11.01,Female Spayed,2 - 5 yrs,South,Overweight,,,,,,11.01,
grlsICW7BS77,Enrolled,1.76,10.25,Female Spayed,1 - 2 yrs,South,Normal,,,,,,10.25,
grlsEFAHDC99,Enrolled,2.22,10.83,Female Intact,Intact,Northeast,Normal,,,,,,10.83,
grlsLM4J9PII,Enrolled,1.43,10.05,Female Intact,Intact,Northeast,Normal,,,,,,10.05,
grls2S3J1K66,Enrolled,2.83,11.04,Female Spayed,>5 yrs,Pacific,Obese,,,,,,11.04,
grls3EXUCLEE,Enrolled Deceased,1.16,7.68,Male Intact,Intact,Mountain,Normal,,,,7.68,0,7.68,Yes
grlsW5TR0BRR,Enrolled,1.67,9.88,Female Spayed,>5 yrs,Northeast,Normal,,,,,,9.88,
grls3I4TC288,Enrolled,1.36,9.46,Male Intact,Intact,South,Overweight,,,,,,9.46,
grlsIQLVMMUU,Enrolled,1.66,9.94,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,9.94,
